Ref,x,y,Connectivity,Point First Moment,Point Second Moment,Visual Entropy,Visual Integration [HH],Visual Integration [P-value],Visual Integration [Tekl],Visual Mean Depth,Visual Node Count,Visual Relativised Entropy
6750235,4.76,5.88,290,103.27867,49.473598,1.9738456,4.8784451,0.51214504,0.84958559,2.9471254,4332,2.3045986
6750236,4.76,5.92,318,118.70315,59.260799,2.0141294,4.9866581,0.52350533,0.8516525,2.9048719,4332,2.2479379
6750237,4.76,5.96,524,506.61371,993.6944,1.7825724,6.7189169,0.70536,0.88077354,2.4137611,4332,2.1309335
6750238,4.76,6,501,485.95761,974.85602,1.7723516,6.6937728,0.70272034,0.880395,2.4190719,4332,2.1428118
6750239,4.76,6.04,291,102.16702,48.129601,1.9722615,4.8738217,0.51165968,0.84949648,2.9489725,4332,2.3070917
6750240,4.76,6.08,281,99.622826,47.982399,1.9649844,4.8600035,0.51020902,0.84922981,2.954514,4332,2.31584
6750241,4.76,6.12,276,100.24689,49.9408,1.9610573,4.852551,0.50942665,0.84908575,2.9575155,4332,2.3205976
6750242,4.76,6.16,279,105.59521,55.254398,1.9616201,4.852551,0.50942665,0.84908575,2.9575155,4332,2.3203223
6750243,4.76,6.2,278,108.91234,59.006401,1.9612032,4.8519788,0.50936657,0.84907466,2.9577465,4332,2.320744
6750244,4.76,6.24,276,113.43774,64.968002,1.9605962,4.8514066,0.50930649,0.84906358,2.9579773,4332,2.32126
6750245,4.76,6.28,277,119.35275,71.499199,1.9605527,4.8508348,0.50924647,0.84905255,2.9582083,4332,2.3214998
6750246,4.76,6.32,275,124.84217,78.371201,1.9592474,4.8485479,0.50900638,0.84900826,2.959132,4332,2.3230152
6750247,4.76,6.36,265,127.31407,84.0336,1.9538032,4.8399916,0.50810814,0.8488425,2.9625952,4332,2.329004
6750248,4.76,6.4,249,130.39983,91.5056,2.0116854,4.3182459,0.45333466,0.8382746,3.199723,4332,2.4181812
6750251,4.76,6.52,90,19.351294,4.9152002,1.8811873,4.1041431,0.43085787,0.83364749,3.314477,4332,2.5784245
6750252,4.76,6.56,119,27.59627,8.1440001,1.9015678,4.5060163,0.47304702,0.84218723,3.1080582,4332,2.4488733
6750253,4.76,6.6,155,47.836914,21.5888,1.9394141,4.5823045,0.48105583,0.84374052,3.0729623,4332,2.3992598
6750254,4.76,6.64,279,157.22244,130.89439,1.9782628,4.9614,0.52085376,0.85117322,2.9145694,4332,2.2811358
6750255,4.76,6.68,492,547.95569,1007.3264,1.7074128,6.5363727,0.68619627,0.87800008,2.453244,4332,2.2201481
6750256,4.76,6.72,323,235.73404,273.04001,1.810526,5.7635093,0.6050601,0.86554861,2.6481183,4332,2.2573354
6750257,4.76,6.76,198,94.422012,69.400002,1.9489442,4.7566109,0.49935475,0.84721535,2.9969983,4332,2.3498135
6750258,4.76,6.8,177,88.234642,69.0448,1.9466809,4.5766969,0.48046714,0.84362704,3.0755022,4332,2.3953497
6750259,4.76,6.84,170,93.665993,79.620796,1.9288284,4.7648749,0.50022227,0.8473776,2.993535,4332,2.3636453
6815752,4.8,5.12,263,159.85904,149.56799,1.9707698,4.8877187,0.51311857,0.84976411,2.9434311,4332,2.3034556
6815753,4.8,5.16,296,170.63861,152.12959,2.0000591,4.9866581,0.52350533,0.8516525,2.9048719,4332,2.2583392
6815754,4.8,5.2,337,199.5562,175.5152,2.0182276,5.1950912,0.54538697,0.8555373,2.8284461,4332,2.2002292
6815755,4.8,5.24,356,208.22437,179.6304,2.0265896,5.2075858,0.54669863,0.8557663,2.824059,4332,2.1914895
6815756,4.8,5.28,305,162.67145,133.48,1.9740887,4.9939218,0.52426791,0.85179001,2.902101,4332,2.2783918
6815757,4.8,5.32,297,154.84575,123.48,1.9748996,4.8778667,0.51208431,0.84957445,2.9473562,4332,2.304317
6815758,4.8,5.36,308,157.63011,120.4064,1.9796474,4.885397,0.51287484,0.84971946,2.9443545,4332,2.2992988
6815759,4.8,5.4,322,161.47871,117.9776,1.9844018,4.8923688,0.51360673,0.84985352,2.9415839,4332,2.2946591
6815760,4.8,5.44,338,168.22293,117.9712,1.9897867,4.9011111,0.51452458,0.85002148,2.9381206,4332,2.289269
6815761,4.8,5.48,365,178.1993,118.4832,1.9969869,4.9134035,0.51581502,0.85025722,2.9332716,4332,2.2824924
6815762,4.8,5.52,372,176.33803,112.5472,1.9988196,4.9169269,0.51618493,0.85032469,2.9318864,4332,2.28071
6815763,4.8,5.56,337,158.6853,100.2336,1.9825233,4.8842373,0.51275307,0.84969711,2.9448164,4332,2.2994058
6815764,4.8,5.6,308,140.68845,87.193604,1.9764028,4.8772883,0.51202363,0.8495633,2.9475873,4332,2.3039696
6815765,4.8,5.64,295,128.88879,77.203201,1.9713669,4.8697834,0.51123571,0.84941864,2.9505887,4332,2.3090796
6815766,4.8,5.68,289,121.40872,70.515198,1.9689592,4.8663268,0.51087284,0.84935194,2.9519742,4332,2.3115201
6815767,4.8,5.72,284,114.04677,63.563202,1.967365,4.8646007,0.51069164,0.84931862,2.9526668,4332,2.3129387
6815768,4.8,5.76,282,108.58732,57.982399,1.9663084,4.8628759,0.51051056,0.8492853,2.9533596,4332,2.3141069
6815769,4.8,5.8,284,105.49833,53.987202,1.9680411,4.8663268,0.51087284,0.84935194,2.9519742,4332,2.3119593
6815770,4.8,5.84,287,103.8661,51.465599,1.9719497,4.8749766,0.51178092,0.84951878,2.9485106,4332,2.3068171
6815771,4.8,5.88,292,103.55003,49.675201,1.9759735,4.8830776,0.51263136,0.84967482,2.9452782,4332,2.3018475
6815772,4.8,5.92,331,131.87375,73.582397,2.0217488,5.0036402,0.52528816,0.85197371,2.8984067,4332,2.2385702
6815773,4.8,5.96,519,512.55774,1024.6016,1.7799526,6.7189169,0.70536,0.88077354,2.4137611,4332,2.1330743
6815774,4.8,6,500,493.67084,1005.7088,1.7714463,6.6981325,0.70317799,0.88046068,2.4181483,4332,2.1429508
6815775,4.8,6.04,299,106.83577,51.619202,2.0045698,4.9697909,0.5217346,0.85133266,2.9113369,4332,2.2586505
6815776,4.8,6.08,285,100.41935,48.195202,1.9697957,4.8703599,0.51129621,0.84942973,2.9503579,4332,2.3095913
6815777,4.8,6.12,282,102.10297,50.886398,1.9654005,4.8605776,0.51026928,0.8492409,2.954283,4332,2.3154187
6815778,4.8,6.16,280,104.44841,54.1008,1.9638827,4.857708,0.50996804,0.84918547,2.9554377,4332,2.3172493
6815779,4.8,6.2,281,108.43563,58.246399,1.9642992,4.8582816,0.51002824,0.84919655,2.9552066,4332,2.3168278
6815780,4.8,6.24,280,112.68504,63.363201,1.9631938,4.855988,0.50978744,0.84915221,2.9561303,4332,2.3182406
6815781,4.8,6.28,282,118.8515,69.857597,1.9640234,4.8571343,0.50990784,0.84917438,2.9556684,4332,2.3174012
6815782,4.8,6.32,284,125.54445,77.057602,1.9620287,4.8514066,0.50930649,0.84906358,2.9579773,4332,2.3205941
6815783,4.8,6.36,289,133.24413,84.452797,1.9664109,4.8600035,0.51020902,0.84922981,2.954514,4332,2.3151801
6815784,4.8,6.4,296,142.41209,93.569603,1.9691882,4.8640256,0.51063126,0.84930748,2.9528978,4332,2.3123665
6815785,4.8,6.44,288,148.97034,102.744,1.9667083,4.8611517,0.51032954,0.84925199,2.9540522,4332,2.314585
6815786,4.8,6.48,275,147.69745,107.12,1.9597119,4.8496909,0.50912637,0.84903038,2.9586701,4332,2.3223498
6815787,4.8,6.52,274,144.17676,108.08,1.9712561,4.8842373,0.51275307,0.84969711,2.9448164,4332,2.3044264
6815788,4.8,6.56,266,143.27884,112.5472,1.9694359,4.8848171,0.51281399,0.84970832,2.9445856,4332,2.305378
6815789,4.8,6.6,278,154.35132,125.0736,1.995147,4.9625969,0.5209794,0.85119599,2.9141076,4332,2.2671194
6815790,4.8,6.64,370,263.66269,266.16479,2.0048966,5.456224,0.57280093,0.86023688,2.7409375,4332,2.1600034
6815791,4.8,6.68,542,619.04669,1116.88,1.7151129,6.8044872,0.71434325,0.88205367,2.3959825,4332,2.1744685
6815792,4.8,6.72,398,358.71567,509.4144,1.8081621,6.0812902,0.63842118,0.87081587,2.561995,4332,2.2052417
6815793,4.8,6.76,252,156.59021,147.0448,1.9846741,4.9566178,0.52035171,0.85108227,2.9164166,4332,2.2762151
6815794,4.8,6.8,217,138.35579,136.9872,1.9444863,4.8434105,0.50846708,0.84890878,2.9612098,4332,2.3335667
6815795,4.8,6.84,208,138.56532,141.552,1.9386597,4.8354406,0.50763035,0.84875429,2.9644425,4332,2.3399308
6881288,4.84,5.12,270,162.44919,150.7632,1.9747547,4.894115,0.51379007,0.84988707,2.9408913,4332,2.299016
6881289,4.84,5.16,296,171.38646,153.6528,1.9406079,5.5452123,0.58214301,0.86179852,2.7129993,4332,2.1944005
6881290,4.84,5.2,338,200.93681,178.056,2.0185988,5.1950912,0.54538697,0.8555373,2.8284461,4332,2.1999536
6881291,4.84,5.24,354,208.82271,182.0912,2.025646,5.2056093,0.54649109,0.85573012,2.8247519,4332,2.1925893
6881292,4.84,5.28,310,165.11208,135.60001,1.9753983,4.9945283,0.52433157,0.85180146,2.9018703,4332,2.2774544
6881293,4.84,5.32,309,162.0493,129.38721,1.991017,4.9157519,0.51606154,0.85030216,2.9323483,4332,2.2826822
6881294,4.84,5.36,316,163.07828,125.2048,1.9822019,4.8888803,0.51324052,0.84978646,2.9429693,4332,2.2968979
6881295,4.84,5.4,336,170.44125,124.5024,1.9898193,4.9016953,0.51458585,0.85003269,2.9378896,4332,2.2889419
6881296,4.84,5.44,354,175.2309,121.04,1.9918208,4.9028635,0.51470852,0.8500551,2.9374278,4332,2.2884598
6881297,4.84,5.48,376,178.02142,115.3264,2.0025337,4.925168,0.51705009,0.85048234,2.928654,4332,2.2759278
6881298,4.84,5.52,354,165.15269,104.392,1.997975,4.9175148,0.51624662,0.85033596,2.9316554,4332,2.2797263
6881299,4.84,5.56,318,147.57974,92.110397,1.9854683,4.8964448,0.51403463,0.8499319,2.9399676,4332,2.2924922
6881300,4.84,5.6,307,138.2617,83.655998,1.9810698,4.8894615,0.51330155,0.84979767,2.9427383,4332,2.2970655
6881301,4.84,5.64,299,130.10788,76.228798,1.9734061,4.8732443,0.51159906,0.8494854,2.9492035,4332,2.3068151
6881302,4.84,5.68,295,123.26687,69.662399,1.9720573,4.8715134,0.51141733,0.84945202,2.9498961,4332,2.3080852
6881303,4.84,5.72,289,116.03209,63.348801,1.9694159,4.8674784,0.51099378,0.84937418,2.9515123,4332,2.3108611
6881304,4.84,5.76,288,110.99865,58.1632,1.9699146,4.8692069,0.51117522,0.84940749,2.9508197,4332,2.3099627
6881305,4.84,5.8,289,108.04501,55.001598,1.9716685,4.8732443,0.51159906,0.8494854,2.9492035,4332,2.3075945
6881306,4.84,5.84,289,105.15712,51.9744,1.973215,4.8772883,0.51202363,0.8495633,2.9475873,4332,2.3053367
6881307,4.84,5.88,297,107.43253,52.558399,2.0001216,4.9548268,0.52016371,0.85104817,2.9171093,4332,2.2655442
6881308,4.84,5.92,334,139.45978,83.872002,2.0235555,5.0079036,0.52573574,0.85205424,2.8967905,4332,2.2362993
6881309,4.84,5.96,513,518.62866,1056.0192,1.7772986,6.7123394,0.70466948,0.8806746,2.4151466,4332,2.1361623
6881310,4.84,6,493,497.91345,1034.64,1.7682369,6.6905074,0.7023775,0.88034576,2.4197645,4332,2.1466622
6881311,4.84,6.04,302,110.50415,55.030399,2.0071864,4.9679904,0.52154559,0.85129845,2.9120295,4332,2.2570844
